ID_Cliente,FechaCompra,CategoriaProducto,Cantidad,ValorUnitario,Descuento
C0001,2025-10-23,Alimentos,4,163064.0,0.1
C0002,2025-08-01,Servicios,1,78126.0,0.05
C0003,2025-10-23,Moda,1,266478.0,0.0
C0003,2025-06-02,Tecnología,1,48034.0,0.15
C0004,2025-01-15,Servicios,1,137590.0,0.05
C0004,2025-06-06,Tecnología,1,170891.0,0.1
C0004,2025-09-11,Alimentos,2,51974.0,0.15
C0004,2025-12-19,Servicios,3,123936.0,0.05
C0005,2025-04-25,Moda,4,136377.0,0.05
C0005,2025-05-28,Moda,2,44415.0,0.0
C0005,2025-01-23,Hogar,2,63794.0,0.05
C0005,2025-07-29,Tecnología,1,130462.0,0.0
C0005,2025-11-20,Servicios,4,203921.0,0.0
C0006,2025-11-09,Tecnología,3,264384.0,0.05
C0006,2025-05-29,Tecnología,1,23306.0,0.1
C0006,2025-06-03,Tecnología,3,127795.0,0.15
C0006,2025-07-29,Moda,2,72162.0,0.0
C0006,2025-12-30,Moda,3,230139.0,0.05
C0006,2025-07-17,Servicios,4,24874.0,0.05
C0006,2025-05-30,Hogar,4,50194.0,0.0
C0006,2025-03-25,Tecnología,1,121902.0,0.0
C0006,2025-07-08,Tecnología,3,24349.0,0.0
C0006,2025-07-30,Servicios,1,180196.0,0.15
C0007,2025-09-21,Servicios,3,69953.0,0.0
C0007,2025-06-11,Alimentos,1,142310.0,0.15
C0007,2025-01-08,Tecnología,1,65970.0,0.1
C0007,2025-11-24,Tecnología,3,165855.0,0.1
C0007,2025-09-21,Hogar,3,272820.0,0.1
C0007,2025-06-14,Servicios,2,38484.0,0.0
C0007,2025-05-31,Servicios,3,216104.0,0.05
C0007,2025-03-23,Hogar,1,177611.0,0.0
C0008,2025-08-10,Tecnología,2,174202.0,0.2
C0008,2025-12-08,Alimentos,4,29935.0,0.05
C0008,2025-08-03,Tecnología,2,73849.0,0.1
C0008,2025-08-25,Tecnología,3,22644.0,0.15
C0009,2025-05-26,Servicios,2,125908.0,0.0
C0009,2025-06-14,Tecnología,2,51214.0,0.0
C0009,2025-12-08,Servicios,3,23915.0,0.1
C0009,2025-04-08,Alimentos,1,26193.0,0.05
C0010,2025-06-30,Alimentos,3,39478.0,0.15
C0010,2025-01-11,Alimentos,1,67819.0,0.05
C0010,2025-04-08,Servicios,4,23949.0,0.05
C0010,2025-08-15,Alimentos,3,26214.0,0.05
C0010,2025-07-20,Hogar,2,177796.0,0.0
C0010,2025-05-09,Tecnología,1,76252.0,0.05
C0011,2025-04-18,Alimentos,3,213025.0,0.0
C0012,2025-03-21,Moda,4,207651.0,0.1
C0012,2025-07-17,Tecnología,2,27717.0,0.1
C0012,2025-12-31,Hogar,3,48839.0,0.2
C0012,2025-10-09,Servicios,2,43881.0,0.0
C0012,2025-01-07,Tecnología,3,45842.0,0.1
C0012,2025-08-11,Alimentos,3,68435.0,0.1
C0013,2025-07-07,Servicios,2,78996.0,0.0
C0013,2025-07-02,Alimentos,3,26634.0,0.1
C0014,2025-09-26,Servicios,2,61461.0,0.0
C0014,2025-01-29,Tecnología,1,260488.0,0.05
C0014,2025-08-24,Tecnología,2,254277.0,0.0
C0014,2025-03-06,Tecnología,3,178533.0,0.0
C0014,2025-11-20,Hogar,2,156031.0,0.0
C0014,2025-03-14,Tecnología,1,112476.0,0.2
C0014,2025-03-02,Servicios,3,122044.0,0.15
C0015,2025-02-21,Alimentos,3,142216.0,0.0
C0015,2025-08-31,Servicios,2,39095.0,0.0
C0015,2025-08-29,Hogar,3,292577.0,0.05
C0016,2025-01-20,Hogar,1,171737.0,0.05
C0017,2025-03-30,Tecnología,4,298513.0,0.05
C0017,2025-11-19,Moda,4,216990.0,0.2
C0017,2025-11-28,Hogar,1,26759.0,0.0
C0017,2025-05-04,Moda,1,47837.0,0.2
C0018,2025-10-28,Servicios,3,48534.0,0.1
C0018,2025-02-09,Moda,1,205842.0,0.05
C0018,2025-12-02,Alimentos,1,83784.0,0.1
C0019,2025-08-23,Servicios,2,21542.0,0.1
C0019,2025-06-09,Moda,1,303370.0,0.0
C0019,2025-09-15,Servicios,1,102307.0,0.0
C0019,2025-02-15,Moda,1,27568.0,0.0
C0019,2025-07-07,Servicios,3,240834.0,0.0
C0020,2025-12-18,Alimentos,2,116446.0,0.1
C0020,2025-07-12,Hogar,4,83368.0,0.2
C0020,2025-06-24,Servicios,4,133084.0,0.05
C0020,2025-01-07,Servicios,3,24486.0,0.05
C0020,2025-02-27,Hogar,2,259354.0,0.2
C0021,2025-10-15,Hogar,3,235505.0,0.0
C0021,2025-07-14,Tecnología,2,103503.0,0.1
C0021,2025-10-30,Servicios,3,121085.0,0.0
C0021,2025-09-14,Hogar,4,235495.0,0.0
C0023,2025-05-25,Servicios,1,83154.0,0.1
C0023,2025-12-15,Alimentos,1,148441.0,0.0
C0023,2025-01-15,Tecnología,2,272333.0,0.05
C0023,2025-12-06,Alimentos,1,235054.0,0.0
C0023,2025-08-02,Servicios,1,52606.0,0.0
C0024,2025-10-01,Hogar,2,241666.0,0.1
C0025,2025-08-02,Moda,4,23670.0,0.2
C0025,2025-06-09,Alimentos,4,26846.0,0.0
C0026,2025-04-26,Hogar,2,55844.0,0.0
C0026,2025-05-02,Hogar,3,38991.0,0.1
C0026,2025-12-26,Moda,1,84594.0,0.05
C0026,2025-03-14,Tecnología,2,143807.0,0.1
C0027,2025-03-25,Alimentos,2,52359.0,0.05
C0027,2025-05-07,Tecnología,4,46145.0,0.1
C0027,2025-01-12,Alimentos,1,29968.0,0.0
C0028,2025-04-29,Servicios,3,64027.0,0.0
C0028,2025-07-30,Servicios,4,26183.0,0.0
C0029,2025-11-28,Tecnología,2,205356.0,0.1
C0029,2025-10-20,Alimentos,4,138851.0,0.05
C0029,2025-02-19,Tecnología,3,25636.0,0.1
C0030,2025-08-25,Hogar,4,205784.0,0.0
C0030,2025-01-08,Alimentos,4,230468.0,0.0
C0030,2025-11-30,Hogar,3,214516.0,0.05
C0030,2025-11-14,Alimentos,1,263982.0,0.0
C0030,2025-05-10,Tecnología,3,30944.0,0.0
C0030,2025-08-17,Servicios,3,28985.0,0.0
C0030,2025-10-28,Moda,2,71877.0,0.0
C0031,2025-05-13,Alimentos,4,86060.0,0.0
C0031,2025-10-11,Tecnología,3,178685.0,0.05
C0032,2025-11-30,Hogar,1,220436.0,0.0
C0032,2025-04-29,Moda,2,220239.0,0.0
C0032,2025-06-28,Alimentos,2,149358.0,0.2
C0032,2025-10-26,Hogar,1,55766.0,0.05
C0032,2025-07-03,Moda,2,127548.0,0.0
C0032,2025-05-06,Servicios,4,41883.0,0.1
C0033,2025-09-21,Servicios,4,299314.0,0.0
C0034,2025-05-16,Tecnología,4,85567.0,0.1
C0034,2025-10-16,Tecnología,3,251886.0,0.1
C0034,2025-03-31,Alimentos,2,49139.0,0.0
C0034,2025-06-10,Tecnología,1,209332.0,0.05
C0034,2025-11-20,Hogar,1,245203.0,0.1
C0035,2025-03-30,Servicios,3,24915.0,0.0
C0035,2025-11-12,Servicios,1,23625.0,0.0
C0035,2025-04-12,Hogar,3,64216.0,0.05
C0035,2025-09-22,Moda,1,55377.0,0.15
C0035,2025-04-27,Servicios,2,25052.0,0.0
C0035,2025-10-20,Alimentos,4,80917.0,0.1
C0036,2025-04-17,Servicios,4,27797.0,0.0
C0036,2025-11-20,Servicios,1,231956.0,0.0
C0037,2025-06-07,Hogar,2,31017.0,0.1
C0037,2025-12-16,Moda,3,110709.0,0.05
C0037,2025-03-12,Tecnología,2,171473.0,0.2
C0037,2025-09-20,Tecnología,4,198587.0,0.2
C0037,2025-04-28,Servicios,2,112948.0,0.0
C0037,2025-01-10,Hogar,1,218224.0,0.1
C0038,2025-12-11,Hogar,3,109186.0,0.0
C0038,2025-03-10,Tecnología,3,143414.0,0.0
C0038,2025-05-30,Servicios,3,76499.0,0.05
C0038,2025-05-18,Tecnología,2,195802.0,0.05
C0038,2025-09-15,Moda,3,201661.0,0.0
C0039,2025-04-12,Hogar,4,158718.0,0.0
C0039,2025-12-19,Alimentos,3,24484.0,0.0
C0039,2025-07-15,Servicios,1,105245.0,0.1
C0039,2025-01-27,Servicios,4,271781.0,0.1
C0039,2025-10-27,Servicios,2,64829.0,0.0
C0040,2025-02-05,Servicios,1,202680.0,0.0
C0040,2025-07-27,Hogar,2,257537.0,0.1
C0040,2025-05-25,Alimentos,4,124795.0,0.0
C0040,2025-10-06,Alimentos,3,311748.0,0.15
C0040,2025-12-30,Tecnología,1,264596.0,0.05
C0042,2025-05-31,Hogar,1,45106.0,0.0
C0042,2025-09-06,Tecnología,1,82608.0,0.0
C0042,2025-06-03,Alimentos,2,304439.0,0.05
C0042,2025-12-08,Alimentos,1,112009.0,0.2
C0042,2025-02-11,Hogar,1,78381.0,0.05
C0043,2025-01-07,Alimentos,2,24475.0,0.0
C0044,2025-07-25,Alimentos,2,53055.0,0.0
C0045,2025-01-25,Servicios,1,39477.0,0.0
C0045,2025-01-25,Alimentos,1,139283.0,0.0
C0045,2025-04-02,Servicios,3,300111.0,0.0
C0045,2025-06-09,Servicios,3,272755.0,0.0
C0045,2025-10-14,Moda,1,64870.0,0.0
C0046,2025-03-24,Tecnología,3,161740.0,0.0
C0046,2025-09-20,Alimentos,1,132393.0,0.0
C0046,2025-04-11,Alimentos,4,197921.0,0.05
C0047,2025-01-14,Servicios,1,308882.0,0.0
C0047,2025-03-03,Moda,1,291534.0,0.05
C0047,2025-11-10,Servicios,1,153873.0,0.0
C0047,2025-08-01,Servicios,2,222090.0,0.05
C0047,2025-07-07,Moda,3,213794.0,0.0
C0047,2025-10-09,Alimentos,2,113687.0,0.1
C0048,2025-04-07,Hogar,2,42805.0,0.1
C0048,2025-10-11,Moda,3,45204.0,0.05
C0048,2025-03-20,Tecnología,4,163812.0,0.1
C0048,2025-03-28,Servicios,4,155738.0,0.1
C0048,2025-04-19,Moda,4,59839.0,0.2
C0048,2025-10-04,Hogar,3,311659.0,0.2
C0048,2025-07-30,Moda,4,64375.0,0.0
C0048,2025-12-16,Hogar,2,145147.0,0.1
C0048,2025-12-26,Tecnología,1,50262.0,0.0
C0048,2025-10-19,Alimentos,2,27689.0,0.05
C0049,2025-09-15,Servicios,1,109519.0,0.0
C0049,2025-09-30,Hogar,3,24972.0,0.0
C0049,2025-05-04,Hogar,1,55225.0,0.0
C0051,2025-05-02,Tecnología,4,26690.0,0.05
C0051,2025-05-29,Alimentos,4,68462.0,0.1
C0052,2025-09-15,Servicios,1,141254.0,0.0
C0052,2025-03-29,Alimentos,1,266724.0,0.05
C0053,2025-01-30,Alimentos,3,28861.0,0.0
C0053,2025-12-28,Hogar,4,28667.0,0.15
C0054,2025-10-29,Moda,3,44647.0,0.1
C0054,2025-03-27,Hogar,2,38886.0,0.1
C0054,2025-01-14,Tecnología,2,179492.0,0.0
C0054,2025-08-31,Moda,1,44880.0,0.0
C0055,2025-02-07,Alimentos,4,25127.0,0.0
C0055,2025-03-12,Alimentos,1,284840.0,0.0
C0055,2025-07-05,Alimentos,4,261160.0,0.05
C0055,2025-06-08,Alimentos,4,73451.0,0.0
C0055,2025-06-01,Servicios,4,310697.0,0.0
C0055,2025-12-22,Moda,4,163617.0,0.0
C0056,2025-09-08,Alimentos,3,80041.0,0.0
C0056,2025-06-10,Tecnología,2,125816.0,0.0
C0057,2025-03-02,Hogar,2,60234.0,0.0
C0057,2025-09-11,Servicios,2,30546.0,0.1
C0057,2025-02-04,Hogar,3,213619.0,0.0
C0057,2025-02-18,Servicios,2,203833.0,0.05
C0057,2025-05-06,Hogar,3,29052.0,0.0
C0058,2025-03-25,Tecnología,4,157965.0,0.0
C0058,2025-12-08,Alimentos,3,67217.0,0.1
C0058,2025-12-02,Hogar,1,172306.0,0.0
C0059,2025-01-21,Alimentos,2,28969.0,0.0
C0059,2025-06-09,Moda,4,156763.0,0.0
C0059,2025-05-22,Tecnología,1,55882.0,0.0
C0060,2025-12-07,Alimentos,1,161215.0,0.0
C0060,2025-07-15,Hogar,1,268622.0,0.05
C0060,2025-03-02,Servicios,2,136695.0,0.0
C0061,2025-03-06,Hogar,1,221090.0,0.15
C0061,2025-03-07,Hogar,2,77727.0,0.05
C0061,2025-12-10,Alimentos,3,55855.0,0.1
C0062,2025-03-09,Alimentos,2,200493.0,0.0
C0062,2025-09-27,Moda,1,26852.0,0.1
C0062,2025-03-07,Tecnología,4,246866.0,0.0
C0063,2025-10-06,Tecnología,3,39931.0,0.0
C0063,2025-09-24,Alimentos,2,140057.0,0.05
C0064,2025-02-11,Alimentos,4,291826.0,0.0
C0064,2025-12-31,Moda,3,41289.0,0.05
C0064,2025-08-08,Tecnología,3,205750.0,0.1
C0064,2025-04-11,Alimentos,2,309276.0,0.15
C0065,2025-01-21,Servicios,2,149860.0,0.2
C0065,2025-02-28,Moda,1,22180.0,0.0
C0065,2025-06-03,Servicios,3,177253.0,0.0
C0065,2025-05-14,Moda,4,149427.0,0.15
C0066,2025-05-11,Alimentos,4,229876.0,0.1
C0066,2025-09-05,Hogar,2,23649.0,0.0
C0067,2025-10-06,Tecnología,1,124622.0,0.2
C0067,2025-10-16,Alimentos,1,44102.0,0.1
C0069,2025-09-04,Moda,4,47478.0,0.0
C0069,2025-07-10,Servicios,3,24289.0,0.1
C0070,2025-04-10,Servicios,4,250540.0,0.2
C0070,2025-11-30,Moda,4,21670.0,0.1
C0070,2025-06-03,Tecnología,3,303577.0,0.1
C0070,2025-07-20,Alimentos,4,222322.0,0.1
C0070,2025-09-08,Alimentos,3,24065.0,0.15
C0070,2025-04-30,Servicios,1,106634.0,0.0
C0070,2025-11-16,Tecnología,4,116461.0,0.05
C0070,2025-08-15,Tecnología,3,286819.0,0.0
C0070,2025-03-09,Alimentos,4,50270.0,0.05
C0070,2025-04-30,Servicios,2,24103.0,0.0
C0070,2025-09-24,Hogar,1,157582.0,0.15
C0071,2025-11-20,Moda,1,54072.0,0.05
C0071,2025-10-28,Alimentos,2,124293.0,0.0
C0072,2025-01-21,Moda,2,139863.0,0.05
C0072,2025-11-07,Alimentos,4,120457.0,0.05
C0073,2025-09-19,Tecnología,2,21648.0,0.05
C0073,2025-10-10,Moda,4,55738.0,0.0
C0073,2025-08-29,Moda,4,273578.0,0.0
C0073,2025-11-08,Tecnología,1,153396.0,0.0
C0073,2025-07-09,Moda,4,115676.0,0.05
C0074,2025-08-21,Tecnología,4,173488.0,0.1
C0074,2025-10-04,Moda,3,21547.0,0.1
C0074,2025-05-27,Moda,1,229020.0,0.0
C0075,2025-09-07,Servicios,4,27614.0,0.0
C0075,2025-08-03,Tecnología,3,134956.0,0.0
C0075,2025-06-10,Alimentos,2,161714.0,0.0
C0075,2025-03-25,Tecnología,1,105849.0,0.0
C0075,2025-09-15,Servicios,1,44765.0,0.05
C0075,2025-09-23,Hogar,3,224074.0,0.0
C0076,2025-04-27,Hogar,1,295402.0,0.2
C0077,2025-12-23,Servicios,2,23411.0,0.05
C0077,2025-10-21,Alimentos,1,297684.0,0.0
C0077,2025-03-14,Servicios,2,48875.0,0.0
C0077,2025-10-15,Moda,3,129805.0,0.1
C0079,2025-11-09,Alimentos,4,26508.0,0.05
C0080,2025-11-17,Tecnología,3,118309.0,0.05
C0080,2025-05-06,Moda,1,28021.0,0.05
C0081,2025-07-23,Tecnología,3,110033.0,0.2
C0082,2025-02-14,Alimentos,2,65348.0,0.15
C0082,2025-08-22,Moda,2,288121.0,0.05
C0083,2025-03-28,Alimentos,2,128178.0,0.0
C0083,2025-02-28,Alimentos,1,222893.0,0.1
C0083,2025-03-10,Servicios,1,26573.0,0.0
C0083,2025-11-05,Moda,3,69473.0,0.1
C0084,2025-05-19,Alimentos,3,27055.0,0.0
C0084,2025-04-21,Hogar,3,121285.0,0.2
C0084,2025-09-09,Hogar,4,269438.0,0.05
C0084,2025-06-14,Servicios,4,142923.0,0.1
